Date,Open,High,Low,Close,Adj Close,Volume
2018-12-06,43.235455,44.376389,42.935207,44.136192,43.250275,18812178
2018-12-07,43.835945,44.316338,41.974419,42.094517,41.249584,19064371
2018-12-10,41.854321,42.755058,40.533237,41.614124,40.778843,18791545
2018-12-11,42.274666,42.815109,39.992794,40.593285,39.778484,20746407
2018-12-12,41.073681,42.214615,40.232990,40.293041,39.484268,17622205
2018-12-13,44.976879,45.036930,42.755058,43.235455,42.367619,34518671
2018-12-14,42.514862,43.535698,42.034470,42.634960,41.779179,21449181
2018-12-17,42.574909,43.415600,42.094517,42.935207,42.073406,21604120
2018-12-18,43.115356,45.817570,42.995255,43.715847,42.838375,24442191
2018-12-19,45.877621,47.739147,45.337177,45.997719,45.136444,36549039
2018-12-20,45.937668,46.958508,44.196239,44.676636,43.840099,30367345
2018-12-21,43.956043,44.736683,42.634960,42.935207,42.131271,30916511
2018-12-24,42.394764,42.815109,41.433975,41.554073,40.775993,11658832
2018-12-26,41.974419,44.496487,40.653336,44.376389,43.545467,21622022
2018-12-27,43.115356,43.655800,41.734222,43.655800,42.838375,19946730
2018-12-28,43.175404,45.937668,43.175404,45.096981,44.252567,20261838
2018-12-31,45.157028,45.757523,44.136192,45.457275,44.606133,18045441
2019-01-02,44.796734,49.120277,44.496487,48.339638,47.434505,21541338
2019-01-03,48.159492,49.240376,46.718307,48.399689,47.493443,20474697
2019-01-04,49.180328,49.600674,47.919292,49.420525,48.495155,19997555
2019-01-07,51.342102,52.783283,49.780819,52.483036,51.500324,29922843
2019-01-08,53.503872,54.284512,51.161953,51.402149,50.439674,24476646
2019-01-09,51.161953,52.603134,49.120277,51.041855,50.086136,19368488
2019-01-10,51.041855,53.744068,50.981804,53.684021,52.678829,18708230
2019-01-11,53.263676,53.744068,52.362938,53.684021,52.678829,13433859
2019-01-14,52.903381,54.044315,52.603134,53.443825,52.443123,13601854
2019-01-15,53.503872,53.623974,52.242840,52.422989,51.441406,15663512
2019-01-16,52.302887,54.044315,52.002644,53.924217,52.914516,14032767
2019-01-17,53.443825,55.185253,52.543083,54.885006,53.857330,17617575
2019-01-18,55.425449,55.545547,54.224464,54.404613,53.385925,15443076
2019-01-22,53.924217,53.984268,51.402149,52.002644,51.028923,18013883
2019-01-23,52.182789,53.083527,51.702396,52.422989,51.441406,12054424
2019-01-24,51.822495,53.864170,51.702396,52.723232,51.736023,15042921
2019-01-25,53.143578,55.305351,53.083527,55.005104,53.975166,18702418
2019-01-28,53.924217,54.044315,52.543083,53.623974,52.619907,15260126
2019-01-29,53.443825,54.824955,51.942593,53.443825,52.443123,19062306
2019-01-30,53.924217,55.725697,53.323727,54.644810,53.621628,14393954
2019-01-31,59.688946,64.673035,58.608059,61.010029,59.867661,58058936
2019-02-01,61.250225,62.631359,59.809044,61.190174,60.044434,26338685
2019-02-04,61.670570,62.090916,60.649734,61.310272,60.162277,17193207
2019-02-05,61.550472,63.952442,61.070076,63.832344,62.637135,17123131
2019-02-06,64.072540,65.513718,62.631359,62.871555,61.694324,20064617
2019-02-07,62.571308,62.691406,59.869095,60.409534,59.278412,18102510
2019-02-08,60.109291,60.649734,57.286976,58.908306,57.805290,19742048
2019-02-11,59.268600,60.949978,59.028404,60.229389,59.101627,11771589
2019-02-12,60.469585,60.949978,59.508797,59.929142,58.807007,11177877
2019-02-13,59.929142,62.571308,59.748993,62.271061,61.105076,16475979
2019-02-14,61.790668,61.850719,59.748993,60.289436,59.160553,15551754
2019-02-15,60.769833,61.730618,60.409534,60.589684,59.455177,13046710
2019-02-19,60.229389,60.949978,59.748993,60.829880,59.690880,10586046
2019-02-20,60.589684,60.829880,60.109291,60.649734,59.514111,8101451
2019-02-21,60.229389,61.250225,60.049240,60.229389,59.101627,8248764
2019-02-22,60.349487,61.130127,59.989189,61.070076,59.926579,8449949
2019-02-25,69.476974,70.557854,64.733078,64.973274,63.756683,48332402
2019-02-26,67.384857,68.071815,65.761124,66.572990,65.326454,16651495
2019-02-27,67.634659,68.259171,66.448090,67.946915,66.674660,17426948
2019-02-28,67.572212,67.759560,64.512100,64.886810,63.671844,14549294
2019-03-01,65.261513,65.698669,62.763466,64.137390,62.936455,14251157
2019-03-04,64.449646,65.698669,63.825138,64.824356,63.610565,11170784
2019-03-05,64.824356,66.010925,59.828259,61.764248,60.607754,28627724
2019-03-06,57.829819,60.202965,56.518345,56.893051,55.827778,32950154
2019-03-07,56.705700,59.016392,56.643246,59.016392,57.911343,20412911
2019-03-08,58.266979,60.452770,57.954723,59.828259,58.770206,14013932
2019-03-11,59.016392,62.576111,58.266979,61.826698,60.733303,16981320
2019-03-12,62.014053,63.325527,60.327869,60.952381,59.874439,15911541
2019-03-13,60.765026,62.763466,60.577675,62.576111,61.469467,11875591
2019-03-14,64.324745,65.573769,63.700233,64.324745,63.187172,21436062
2019-03-15,64.262299,65.261513,61.826698,62.201405,61.101383,30294705
2019-03-18,62.388760,64.387199,62.263855,63.700233,62.573715,14675056
2019-03-19,63.825138,64.574554,63.325527,63.637783,62.512352,8755779
2019-03-20,63.263077,64.512100,63.200626,63.825138,62.696404,7745246
2019-03-21,63.700233,64.512100,63.263077,64.137390,63.003139,8089339
2019-03-22,63.825138,63.950039,61.951599,62.326309,61.224083,13060355
2019-03-25,62.201405,63.263077,61.264637,61.701794,60.610611,7962648
2019-03-26,62.138954,63.387978,62.014053,63.075722,61.960239,7625921
2019-03-27,62.950821,63.575333,61.826698,62.201405,61.101383,8830622
2019-03-28,62.201405,62.513660,61.202187,61.764248,60.671951,7237554
2019-03-29,62.326309,62.638565,61.951599,62.388760,61.285419,7769121
2019-04-01,62.576111,63.263077,62.451210,63.075722,61.960239,8221778
2019-04-02,62.825916,64.199844,62.701015,63.950039,62.819088,8286181
2019-04-03,64.074944,64.199844,62.451210,63.075722,61.960239,8989337
2019-04-04,63.075722,63.200626,62.263855,62.638565,61.530807,6570585
2019-04-05,62.888367,63.325527,62.326309,62.513660,61.408112,6926559
2019-04-08,59.391102,59.578453,57.142857,59.266197,58.218079,28183313
2019-04-09,58.391880,58.766590,56.955505,57.580017,56.561729,13317708
2019-04-10,57.767368,57.829819,56.705700,57.205307,56.193642,8626158
2019-04-11,56.955505,57.829819,56.830601,56.955505,55.948254,8777220
2019-04-12,57.142857,57.517563,56.143639,56.206089,55.212101,10962350
2019-04-15,56.268539,56.518345,54.894615,56.081188,55.089397,13281840
2019-04-16,56.455894,57.392662,56.143639,57.080406,56.070946,9645290
2019-04-17,57.205307,57.330212,56.580795,56.955505,55.948254,7696424
2019-04-18,57.017956,58.391880,56.830601,58.391880,57.359234,8247895
2019-04-22,57.767368,58.391880,57.330212,58.204529,57.175194,10747990
2019-04-23,58.079624,58.516785,57.580017,58.266979,57.236538,6485799
2019-04-24,58.142078,58.391880,57.517563,58.204529,57.175194,4609214
2019-04-25,57.580017,57.642467,56.081188,56.955505,55.948254,9988277
2019-04-26,56.955505,59.890709,56.893051,59.765808,58.708858,11895638
2019-04-29,59.765808,60.827480,59.578453,60.765026,59.690407,10569771
2019-04-30,63.887589,65.761124,62.201405,63.512882,62.389660,28371828
2019-05-01,63.387978,65.074158,63.013271,63.075722,61.960239,15912326
2019-05-02,63.387978,64.949257,62.950821,64.012489,62.880444,12686031
2019-05-03,64.324745,65.573769,63.950039,65.573769,64.414124,11019082
2019-05-06,63.950039,65.511322,63.762684,65.136612,63.984684,6986542
2019-05-07,64.574554,64.699455,62.825916,63.138172,62.021587,9110184
2019-05-08,62.950821,64.012489,62.950821,63.450428,62.328320,7581807
2019-05-09,63.138172,63.762684,62.576111,62.701015,61.592159,9527405
2019-05-10,62.576111,63.575333,61.014832,63.263077,62.144283,10108723
2019-05-13,61.514442,62.888367,61.327087,61.639343,60.549271,9629277
2019-05-14,62.076504,64.637001,61.889149,64.449646,63.309868,11292095
2019-05-15,63.387978,64.886810,63.200626,64.074944,62.941788,8601339
2019-05-16,63.825138,64.262299,62.825916,63.263077,62.144283,8727693
2019-05-17,62.513660,63.450428,62.326309,62.451210,61.346783,5934633
2019-05-20,61.889149,62.825916,61.077282,61.701794,60.610611,8359662
